Title,Description,Genres,Cast,IMDb Rating,Release Year,Poster URL
"Vikings","Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.","Action, Adventure, Drama","Katheryn Winnick, Gustaf Skarsgård, Alexander Ludwig",8.5,2013,https://m.media-amazon.com/images/M/MV5BODk4ZjU0NDUtYjdlOS00OTFILThiYjYtM2JkZjdyZDIwM2IzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg
"The Queen's Gambit","Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price.","Drama","Anya Taylor-Joy, Chloe Pirrie, Bill Camp",8.6,2020,https://m.media-amazon.com/images/M/MV5BM2EwMmRhMmUtMzBmMS00ZDQ3LTg4OGEtNjlkODk3ZTMxMmJlXkEyXkFqcGdeQXVyMjM5ODk1NDU@._V1_SX300.jpg
"Ted Lasso","American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League football team.","Comedy, Drama, Sport","Jason Sudeikis, Brett Goldstein, Hannah Waddingham",8.8,2020,https://m.media-amazon.com/images/M/MV5BMTMxMTg2ODcxM15BMl5BanBnXkFtZTgwOTkyMzc1MDE@._V1_SX300.jpg
"Severance","Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives. When a mysterious colleague appears outside of work, it begins a journey to discover the truth about their jobs.","Drama, Mystery, Sci-Fi","Adam Scott, Zach Cherry, Britt Lower",8.7,2022,https://m.media-amazon.com/images/M/MV5BOThjMjc4NGItY2FmMC00MDk4LWJkNjAtNzNlZTEzY2ViZTRjXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg
"Yellowstone","A ranching family in Montana faces off against others encroaching on their land.","Drama, Western","Kevin Costner, Luke Grimes, Kelly Reilly",8.7,2018,https://m.media-amazon.com/images/M/MV5BMTU2MjM3NzQxMV5BMl5BanBnXkFtZTgwNTcxMDU1MDE@._V1_SX300.jpg
"Invincible","An adult animated series based on the Skybound/Image comic about a teenager whose father is the most powerful superhero on the planet.","Animation, Action, Adventure","Steven Yeun, J.K. Simmons, Sandra Oh",8.7,2021,https://m.media-amazon.com/images/M/MV5BMmE1ODRhYWMtMjI2Yi00Y2JkLTk5YjQtODIxZGU0ZTIzN2VjXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_SX300.jpg
"Fleabag","A comedy series adapted from the award-winning play about a young woman trying to cope with life in London while coming to terms with a recent tragedy.","Comedy, Drama","Phoebe Waller-Bridge, Sian Clifford, Olivia Colman",8.7,2016,https://m.media-amazon.com/images/M/MV5BMjA4MzU5NzQxNV5BMl5BanBnXkFtZTgwOTg3MDA5NzM@._V1_SX300.jpg
"BoJack Horseman","BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.","Animation, Comedy, Drama","Will Arnett, Amy Sedaris, Alison Brie",8.8,2014,https://m.media-amazon.com/images/M/MV5BYWQwMDNkM2MtODU4OS00OTY3LTgwOTItNjE2Yzc0MzRkMDllXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg
"Mr. Robot","Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for.","Crime, Drama, Thriller","Rami Malek, Christian Slater, Carly Chaikin",8.5,2015,https://m.media-amazon.com/images/M/MV5BMzgxMmQxZjQtNDdmMC00MjRlLTk1MDEtZDcwNTdmOTg0YtRjXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg
"Brooklyn Nine-Nine","Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct.","Comedy, Crime","Andy Samberg, Stephanie Beatriz, Terry Crews",8.4,2013,https://m.media-amazon.com/images/M/MV5BNzVkYWY4NzYtMWFlZi00YzkwLThhZDItKKS1MTUwODdiMDI1XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
"Parks and Recreation","The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place.","Comedy","Amy Poehler, Jim O'Heir, Nick Offerman",8.6,2009,https://m.media-amazon.com/images/M/MV5BYmE5Yjg0ZWEtYzE3MS00YjI4LWIxMAyLWNjMzBjZmM4ZTM2XkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_SX300.jpg
"Modern Family","Three different but related families face trials and tribulations in their own uniquely comedic ways.","Comedy, Drama, Romance","Ed O'Neill, Sofía Vergara, Julie Bowen",8.5,2009,https://m.media-amazon.com/images/M/MV5BNzRhNWIxYTEtYjc2NS00YWFlLWFhOGEtYzi2OTJlYWNkYWZkXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg
"How I Met Your Mother","A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.","Comedy, Romance","Josh Radnor, Jason Segel, Cobie Smulders",8.3,2005,https://m.media-amazon.com/images/M/MV5BNjg1MDQ5MjQ2N15BMl5BanBnXkFtZTgwNjI5NjYwMDI@._V1_SX300.jpg
"Suits","On the run from a drug deal gone bad, brilliant college dropout Mike Ross, finds himself working with Harvey Specter, one of New York City's best lawyers.","Comedy, Drama","Gabriel Macht, Patrick J. Adams, Meghan Markle",8.4,2011,https://m.media-amazon.com/images/M/MV5BNmVmMmM5ZmItZDg0OC00NTFiLWIxNzctZjNmYTZkMWU3MGMwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg
"Lucifer","Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.","Crime, Drama, Fantasy","Tom Ellis, Lauren German, Kevin Alejandro",8.1,2016,https://m.media-amazon.com/images/M/MV5BNDJjMzc4NGYtZmFkZC00YzhkLTk1MWMtNmI4YTY2OTczMzRjXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg
"Supernatural","Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth.","Drama, Fantasy, Horror","Jared Padalecki, Jensen Ackles, Jim Beaver",8.4,2005,https://m.media-amazon.com/images/M/MV5BNzRmZDY1ZTEtY2MzMy00YjVjLTg2YmItZWEyNGNhZWY1ZDY0XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg
"Doctor Who","The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.","Adventure, Drama, Sci-Fi","Jodie Whittaker, Peter Capaldi, Pearl Mackie",8.6,2005,https://m.media-amazon.com/images/M/MV5BZWJlNjI4NzQtYmNiMC00MzRkLWE5ZTEtMWRhZDAzYmE4ZmRhXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg
"The Walking Dead","Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.","Drama, Horror, Thriller","Andrew Lincoln, Norman Reedus, Melissa McBride",8.1,2010,https://m.media-amazon.com/images/M/MV5BZmU5NTcwNjktODIwMi00ZmZkLTk4ZWUtYzVjZWJkZTVjZTZjXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg
"Lost","The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.","Adventure, Drama, Fantasy","Jorge Garcia, Josh Holloway, Yunjin Kim",8.3,2004,https://m.media-amazon.com/images/M/MV5BNzJlMjg4MmItMWk1YS00ZGRjLTg3M2MtZDAxNDQ3MTE1YjVmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg
"Prison Break","Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out.","Action, Crime, Drama","Dominic Purcell, Wentworth Miller, Amaury Nolasco",8.3,2005,https://m.media-amazon.com/images/M/MV5BMTg3NTkwNzAxOF5BMl5BanBnXkFtZTcwMjM1NjI5MQ@@._V1_SX300.jpg
"Spartacus","The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.","Action, Adventure, Biography","Andy Whitfield, Lucy Lawless, Manu Bennett",8.5,2010,https://m.media-amazon.com/images/M/MV5BMTYxMzA0MDYxNl5BMl5BanBnXkFtZTcwOTAwMTczNw@@._V1_SX300.jpg
"Rome","A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.","Action, Drama, Romance","Kevin McKidd, Ray Stevenson, Polly Walker",8.7,2005,https://m.media-amazon.com/images/M/MV5BODg4MDk3MTY2MF5BMl5BanBnXkFtZTgwMTQ4NjQzMjE@._V1_SX300.jpg
"Band of Brothers","The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day.","Drama, History, War","Scott Grimes, Damian Lewis, Ron Livingston",9.4,2001,https://m.media-amazon.com/images/M/MV5BMTI3ODc2ODc0M15BMl5BanBnXkFtZTYwMjgzNjc3._V1_SX300.jpg
"The Sopranos","New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.","Crime, Drama","James Gandolfini, Lorraine Bracco, Edie Falco",9.2,1999,https://m.media-amazon.com/images/M/MV5BZGJjYzhjYTYtMDBjYy00OWU1LTg5OTYtNmYwOTZmZjE3ZDdhXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg
"The Wire","The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.","Crime, Drama, Thriller","Dominic West, Lance Reddick, Sonja Sohn",9.3,2002,https://m.media-amazon.com/images/M/MV5BZmY5ZDMxODEtNWIwOS00NjdkLTkyMjktNWRjMDhmYjJjN2RmXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg
"Mad Men","A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.","Drama","Jon Hamm, Elisabeth Moss, Vincent Kartheiser",8.7,2007,https://m.media-amazon.com/images/M/MV5BMjIwMDIwNjAyOF5BMl5BanBnXkFtZTgwNDE3OTI2MDE@._V1_SX300.jpg
"Downton Abbey","A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.","Drama, Romance","Hugh Bonneville, Phyllis Logan, Elizabeth McGovern",8.7,2010,https://m.media-amazon.com/images/M/MV5BMTQ2NDY4OTkyNl5BMl5BanBnXkFtZTgwMjE5NzYxMTE@._V1_SX300.jpg
"The Handmaid's Tale","Set in a dystopian future, a woman is forced to live as a concubine under a fundamentalist theocratic dictatorship.","Drama, Sci-Fi, Thriller","Elisabeth Moss, Yvonne Strahovski, Joseph Fiennes",8.4,2017,https://m.media-amazon.com/images/M/MV5BMTU0MjgyMjk2OV5BMl5BanBnXkFtZTgwMzE2MzU0OTE@._V1_SX300.jpg
"Big Little Lies","The apparently perfect lives of upper-class mothers, at a prestigious elementary school, unravel to the point of murder when a single-mother moves to their quaint Californian beach town.","Crime, Drama, Mystery","Reese Witherspoon, Nicole Kidman, Shailene Woodley",8.5,2017,https://m.media-amazon.com/images/M/MV5BMTY2ODQ3MjMyOF5BMl5BanBnXkFtZTgwODg0MTUzMjI@._V1_SX300.jpg
"True Blood","Telepathic waitress Sookie Stackhouse encounters a strange new supernatural world when she meets the mysterious Bill Compton, a southern Louisiana gentleman and vampire.","Drama, Fantasy, Mystery","Anna Paquin, Stephen Moyer, Sam Trammell",7.8,2008,https://m.media-amazon.com/images/M/MV5BMjI0NDE4MzU1M15BMl5BanBnXkFtZTgwMTQxMjU5MTE@._V1_SX300.jpg
"Dexter","He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and nights committing them.","Crime, Drama, Mystery","Michael C. Hall, Jennifer Carpenter, David Zayas",8.6,2006,https://m.media-amazon.com/images/M/MV5BMTM5MjkwMTI0MV5BMl5BanBnXkFtZTcwODQwMTc0Mg@@._V1_SX300.jpg
"Hannibal","Explores the early relationship between renowned psychiatrist Hannibal Lecter and a young FBI criminal profiler who is haunted by his ability to empathize with serial killers.","Crime, Drama, Horror","Hugh Dancy, Mads Mikkelsen, Caroline Dhavernas",8.5,2013,https://m.media-amazon.com/images/M/MV5BMjM3MjUyNDk2NV5BMl5BanBnXkFtZTgwNzE2MzE5NDE@._V1_SX300.jpg
"Gotham","The story behind Detective James Gordon's rise to prominence in Gotham City in the years before Batman's arrival.","Action, Crime, Drama","Ben McKenzie, Jada Pinkett Smith, Donal Logue",7.8,2014,https://m.media-amazon.com/images/M/MV5BMTY2MjMwNDI0Nl5BMl5BanBnXkFtZTgwMDI2MjIwMTI@._V1_SX300.jpg
"Arrow","Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.","Action, Adventure, Crime","Stephen Amell, Katie Cassidy, David Ramsey",7.5,2012,https://m.media-amazon.com/images/M/MV5BMTI0NTMwMDgtYTMzZC00YmJhLTg4NzMtMTc1NjI4MWY4NmQ4XkEyXkFqcGdeQXVyNTY4NjE3NzQ@._V1_SX300.jpg
"The Flash","After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the next Flash, fighting crime in Central City.","Action, Adventure, Drama","Grant Gustin, Candice Patton, Danielle Panabaker",7.6,2014,https://m.media-amazon.com/images/M/MV5BMTQ4MzM2MzQ4OV5BMl5BanBnXkFtZTgwNzE5ODg3MDI@._V1_SX300.jpg
"Supergirl","The adventures of Superman's cousin in her own superhero career.","Action, Adventure, Drama","Melissa Benoist, Chyler Leigh, David Harewood",6.2,2015,https://m.media-amazon.com/images/M/MV5BMjM2NTAyNDAzMF5BMl5BanBnXkFtZTgwMzE4ODc3MDI@._V1_SX300.jpg
"Legends of Tomorrow","Time-traveling rogue Rip Hunter has to recruit a rag-tag team of heroes and villains to help prevent an apocalypse that could impact not only Earth, but all of time.","Action, Adventure, Drama","Victor Garber, Brandon Routh, Caity Lotz",6.8,2016,https://m.media-amazon.com/images/M/MV5BMTc2ODg0MzQyM15BMl5BanBnXkFtZTgwMDIwMzg1MDI@._V1_SX300.jpg
"Titans","A team of young superheroes combat evil and other perils.","Action, Adventure, Crime","Brenton Thwaites, Teagan Croft, Anna Diop",7.6,2018,https://m.media-amazon.com/images/M/MV5BOGYwYWQ4ODctMDQ4OC00ZTM1LWE4MTItM2RhYjVjY2FhZWI2XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg
"Doom Patrol","The adventures of an idealistic mad scientist and his field team of superpowered outcasts.","Action, Adventure, Comedy","Diane Guerrero, April Bowlby, Matt Bomer",7.9,2019,https://m.media-amazon.com/images/M/MV5BY2QzM2FlMDctMDNhNi00MDRkLWI1ZjYtZFljZTM5ZWE2ZWM5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg
"Watchmen","Set in an alternate history where ""superheroes"" are treated as outlaws, ""Watchmen"" embraces the nostalgia of the original groundbreaking graphic novel of the same name while attempting to break new ground of its own.","Action, Drama, Mystery","Regina King, Yahya Abdul-Mateen II, Tom Mison",8.2,2019,https://m.media-amazon.com/images/M/MV5BYzQyMjQyNDItYmYyMy00ZjFmLWExZjItZDJiOTc4M2FiM2YwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg
"Loki","The mercurial villain Loki resumes his role as the God of Mischief in a new series that takes place after the events of ""Avengers: Endgame"".","Action, Adventure, Fantasy","Tom Hiddleston, Owen Wilson, Gugu Mbatha-Raw",8.2,2021,https://m.media-amazon.com/images/M/MV5BNTkwOTE1ZDYtODQ3Yy00YjBiLWI0NzEtMDEzMzI5YzIyNjBkXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_SX300.jpg
